,"Audit",,,,
,,,,,
,"All 29 rows shown.",,,,
,"Dbl-click","Double-click","Dbl-click","Double-click","Double-click to filter"
,"Version","Date","Time","Author","Comment"
,29,2026-08-13,0.661886574074742,"Philip Swannell","Updates to docs for JuliaLaunch."
,28,2026-08-10,0.766909722224227,"Philip Swannell","Updates for socket-based version of JuliaExcel."
,27,2021-12-08,0.728206018517085,"Philip Swannell","Refreshed."
,26,2021-12-07,0.641261574077362,"Philip Swannell","Refreshed."
,25,2021-12-06,0.736539351848478,"Philip Swannell","Refreshed."
,24,2021-12-03,0.630983796298096,"Philip Swannell","Tweaks to methods generating documentation."
,23,2021-12-02,0.740358796298096,"Philip Swannell","Refreshed."
,22,2021-12-01,0.784224537033879,"Philip Swannell","Cope with functions with zero arguments. The code in this workbook is shamefully hacky."
,21,2021-11-17,0.519976851850515,"Philip Swannell","Function name changes: FromVBA --> VBA"
,20,2021-11-15,0.734814814815763,"Philip Swannell","Have ditched JuliaCall2 and argument PrecedentCell to the other functions."
,19,2021-11-15,0.433078703703359,"Philip Swannell","Renamed to JuliaExcel-Documenter."
,18,2021-11-11,0.499722222222772,"Philip Swannell","Now take all data from the _IntelliSense_ sheet of JuliaExcel.xlsm"
,17,2021-11-10,0.799988425926131,"Philip Swannell","Now with Intellisense worksheet, that will (hopefully) be picked up by the DNA.intellisense coe, once copied to the add-in"
,16,2021-11-09,0.397708333330229,"Philip Swannell","Fixed typo"
,15,2021-11-08,0.609629629630945,"Philip Swannell","Updates to documentation"
,14,2021-11-07,0.432534722225682,"Philip Swannell","Renamed to JuliaExcel"
,13,2021-10-15,0.83906250000291,"Philip Swannell","Create VBA-CSV-Intellisense.xlsx workbook"
,12,2021-10-13,0.531712962962047,"Philip Swannell","Tweaks to CSVWrite documentation."
,11,2021-10-12,0.522627314814599,"Philip Swannell","CSVWrite now accepts Data having one dimension."
,10,2021-09-30,0.711967592593282,"Philip Swannell","Edit to function CodeToRegister."
,9,2021-09-29,0.83050925925636,"Philip Swannell","Edit to function CodeToRegister."
,8,2021-09-27,0.807118055556202,"Philip Swannell","DateFormat arg to CSVRead now defaults to Y-M-D."
,7,2021-09-23,0.552222222220735,"Philip Swannell","CSVWrite now takes argument Encoding, not Unicode."
,6,2021-09-20,0.613136574072996,"Philip Swannell","Edits to help."
,5,2021-09-09,0.353437500001746,"Philip Swannell","Edits to help."
,4,2021-09-08,0.78216435185459,"Philip Swannell","Edits to help."
,3,2021-09-06,0.601793981484661,"Philip Swannell","Fixed typo in IgnoreRepeated."
,2,2021-09-05,0.328229166669189,"Philip Swannell","Now save backups of this workbook to my one-drive."
,1,2021-08-15,0.562395833330811,"Philip Swannell","Added audit sheet"
